Content,Class,LS1_FCJ,LS1_GETJ,LS1_SJJ,LS1_BMJ,LS1_FWXJ,LS1_STJ,LS1_JXFJ,LS2_FCJ,LS2_GETJ,LS2_SJJ,LS2_BMJ,LS2_FWXJ,LS2_STJ,LS2_JXFJ,LS3_FCJ,LS3_GETJ,LS3_SJJ,LS3_BMJ,LS3_FWXJ,LS3_STJ,LS3_JXFJ,LS4_FCJ,LS4_GETJ,LS4_SJJ,LS4_BMJ,LS4_FWXJ,LS4_STJ,LS4_JXFJ,LS5_FCJ,LS5_GETJ,LS5_SJJ,LS5_BMJ,LS5_FWXJ,LS5_STJ,LS5_JXFJ,LS6_FCJ,LS6_GETJ,LS6_SJJ,LS6_BMJ,LS6_FWXJ,LS6_STJ,LS6_JXFJ,MG1_FCJ,MG1_GETJ,MG1_SJJ,MG1_BMJ,MG1_FWXJ,MG1_STJ,MG1_JXFJ,MG2_FCJ,MG2_GETJ,MG2_SJJ,MG2_BMJ,MG2_FWXJ,MG2_STJ,MG2_JXFJ,MG3_FCJ,MG3_GETJ,MG3_SJJ,MG3_BMJ,MG3_FWXJ,MG3_STJ,MG3_JXFJ,MG4_FCJ,MG4_GETJ,MG4_SJJ,MG4_BMJ,MG4_FWXJ,MG4_STJ,MG4_JXFJ,MG5_FCJ,MG5_GETJ,MG5_SJJ,MG5_BMJ,MG5_FWXJ,MG5_STJ,MG5_JXFJ,MG6_FCJ,MG6_GETJ,MG6_SJJ,MG6_BMJ,MG6_FWXJ,MG6_STJ,MG6_JXFJ
Asp,Non_essential,10.73680411,17.25230103,64.41281628,12.3787927,47.00302973,8.970793621,88.31887135,7.168584518,4.888698119,11.72739755,12.79759124,14.44779573,25.47476639,15.05571086,19.7610248,20.90884761,25.30736447,11.26132359,3.599264479,22.60510002,7.640610325,52.0434773,19.75077873,14.16575282,11.18391593,12.72372484,28.28479878,29.06176597,20.47195237,12.42761821,8.426801523,18.4947615,19.50258728,4.518165488,12.8279168,177.3507358,90.04277662,169.3267508,29.11870666,146.6295215,6.165983063,13.04881368,3.826581452,15.76403518,2.818480965,11.19711573,5.239956007,12.57302751,111.6423073,5.378100349,5.597924349,3.546801244,4.815091364,83.07035905,52.09773169,145.0343114,5.381375782,6.195171062,2.683156894,7.101332871,7.662389255,13.70606746,121.4378218,7.683559213,3.992614463,6.151271872,8.399369027,27.85517673,13.98468413,113.5240875,7.341848213,11.76781051,28.92697757,15.57197984,30.7556878,9.940219095,16.14791865,55.29514919,98.08293691,35.42923912,16.69291557,7.141993709,198.5006784,189.2140092
Glu,Non_essential,16.83132967,22.45209334,78.76154127,17.11947947,58.91025601,10.02736995,108.9359838,9.975386232,6.578303579,16.5382066,18.10234671,21.57442951,30.57188908,21.62548754,30.02254123,28.13805148,35.98790277,16.99720728,5.401766707,29.01598584,12.00671061,66.48531689,27.95593326,22.38377795,12.83300096,18.41791434,36.9203843,37.85127786,29.56245545,19.95526812,13.36528933,25.92725354,26.24114454,6.252931196,15.18675282,216.6193106,108.518654,210.799216,41.09324599,178.6257255,8.542817847,14.93550311,4.28033123,19.91888808,2.900677275,11.00449163,6.835380126,15.67759233,139.6656252,4.937049838,5.870317325,3.352925804,4.514411189,100.4477695,62.78130225,184.8707053,4.730661263,6.590826097,2.190866183,7.593924365,9.200170583,19.27270205,153.3113981,5.866926135,2.344023011,5.099548096,8.375547199,35.84939868,17.72310774,140.5789653,11.88109532,17.84006351,40.96485275,21.1066289,40.29253519,14.88437286,22.77343472,67.2264001,121.9030737,45.48792226,17.62527467,9.65025718,239.1749999,247.7954516
Hyp,Non_essential,1.946215892,3.372308724,3.656970202,0.191099126,3.355858351,3.652893103,3.351875666,3.171030086,1.408148248,1.877114033,1.220000414,2.624529875,5.093204866,1.90662543,13.07958843,2.50704355,3.012052178,0.509297218,1.492090138,6.68799994,1.107792109,8.597608704,2.920456968,1.358693511,0.277149005,2.230017105,1.930669455,2.226205284,2.696077881,8.134237418,2.015684536,0.564979301,1.559683029,3.523275774,1.231764479,14.81268822,1.912343964,1.995012145,1.423071092,1.620399946,3.787539084,1.200297381,4.348902837,1.022947749,1.328684756,0.361664597,1.562744454,4.364249565,4.864512523,0.72040326,0.584753534,1.573068829,0.576089742,3.826026865,3.02219156,6.272562204,0.581911772,1.230006089,3.411250651,0.875962619,1.647302935,3.389703863,5.626181049,0.476400484,1.020454437,5.290040052,0.162746984,2.440104184,1.217988822,7.793363772,0.877985866,4.477636933,5.414117945,0.335655714,3.807532769,2.792850238,2.955193801,1.227923101,1.30788218,1.630395912,2.327052559,1.765039146,5.659600532,5.210410427
Arg,Non_essential,1.996517604,3.326741544,12.77382683,2.291601898,9.241353049,2.33871145,17.97514567,1.475202161,0.682550219,-0.02617094,0.208581522,0.597295156,1.306977468,0.509219189,5.011136352,3.490151703,3.819033491,0.145009577,0.549045726,0.308268335,0.194858477,4.87737232,2.109226323,2.29189112,1.229738089,1.736715482,4.441758085,4.359409188,2.913386446,2.069587306,0.377334306,-0.034422422,0.295646689,0.432249986,0.785905668,0.397349432,1.027957134,1.656367736,0.861446664,4.126001959,1.87054077,1.240477519,1.5872053,2.707487231,1.086232541,2.345985657,0.928583043,2.830624978,35.25541287,1.562362734,1.530382257,1.235841788,0.936536357,16.64977105,10.30858554,34.66743504,1.458188293,1.201315839,0.710661989,1.095425608,1.206768276,3.649655745,28.24453014,0.604701657,1.17145483,1.633273383,1.066842526,5.524631645,2.473299826,27.46508073,1.443329168,2.316578575,1.678745494,0.29975917,1.814688367,1.272571428,0.857678926,10.05071217,20.75841264,7.020540867,3.671136554,1.849291609,54.55567048,46.27762191
Gly,Non_essential,0.265938317,2.307956352,16.11454395,0.488004132,10.45382867,0.325712316,22.11069833,-0.002790131,0.023681917,0.048653486,0.258075444,0.754795867,5.107185378,0.427367707,1.325913027,1.812118268,3.055007935,0.565628916,-0.017958798,4.301825838,-0.061566288,16.96686187,0.71676208,0.155075949,0.415906185,0.337865496,4.650874024,4.913576207,1.030110904,0.394834432,0.054969302,0.92797822,0.901732139,-0.010384597,0.69954451,76.46965002,14.12452226,23.34244229,2.520786937,22.46767515,0.118604784,0.31233395,0.321976695,1.070439262,0.321641984,0.828703089,0.248621375,0.303813471,36.54245149,0.417961828,0.458897222,0.197584142,0.42712367,21.11851067,12.81545995,41.54121094,0.493408365,0.281577045,0.236096905,0.24622967,0.045002539,0.299588965,33.9453234,0.173696011,0.422608447,0.048437771,0.354251144,5.890506519,0.620985313,39.22736037,0.296465221,0.839451126,6.379547043,1.248573015,5.466254323,0.224477205,1.535079394,9.518529487,16.89234789,4.278572788,0.902007361,0.177536543,50.76367269,46.05848257
Thr,essential,1.435866718,1.907328498,6.166132654,1.334421134,4.904656942,0.944203575,8.317229209,0.316430255,0.288188494,0.842224942,0.783802633,1.312411244,1.969461942,1.330837434,2.148151222,2.195175992,2.564307501,1.194555774,0.059057062,1.863217312,0.618230212,3.801169008,2.113544357,1.840648955,1.320905538,1.69713836,3.270670728,3.126225665,2.613721346,1.420397736,0.905491218,2.287080097,1.566328728,0.183490017,0.228337818,22.67912213,9.805460533,19.30995546,3.087256366,15.13055679,0.566520501,1.189390372,0.387683874,1.840965185,0.428482038,1.373662147,0.845630281,1.572846481,13.76803302,0.714360329,0.928875854,0.649406491,0.677985082,8.305272016,5.544012209,15.01420963,0.782693465,0.88949656,0.709103284,0.938515217,1.113905412,2.112107142,12.45502753,0.791005424,0.490090622,0.482796227,1.085437508,3.138413679,1.847594579,11.17966811,0.998747695,1.45698824,3.056696567,1.757009827,3.220342674,1.136394196,1.086708465,6.156242207,10.32640549,4.329965272,2.086600064,1.005357191,21.6017205,19.96111219
Pro,Non_essential,7.337731459,8.463691881,9.0999758,5.994345678,10.4905218,9.417615697,8.377753951,9.647350698,5.190471771,8.472980611,6.057864374,9.416708589,11.5553904,8.738904437,24.40390364,7.559085608,8.254217233,6.192392371,4.504736126,12.77281053,6.441089528,16.15632028,9.791334096,7.611693067,5.187801671,8.299270817,6.996746949,7.419462966,10.0298567,17.92005038,8.826315443,6.211622042,7.117321939,9.976853215,5.487282567,22.01242064,9.668997967,9.180247122,6.841155189,9.119116287,7.981108882,6.379035259,12.43418321,7.919435674,7.262854256,10.91452409,7.873804231,12.28542684,11.09320162,8.848431934,8.778218532,8.279800117,6.297941669,13.74564494,10.6018638,12.49421651,7.87972598,8.213668647,10.5483067,6.755977554,7.833076712,11.18512679,11.66123274,3.913355698,6.424413787,13.21195591,5.929402894,9.224525228,6.258335848,14.90424002,7.053898226,12.55426741,14.17756624,5.039374062,11.12796488,9.440756587,7.493428686,11.45695982,12.36015947,10.61648495,13.79265337,9.054107034,13.09666176,13.65377927
Ala,Non_essential,9.877665394,12.72297738,29.68745689,10.34156109,26.26342907,12.16210965,33.90236564,12.3817834,8.420342694,16.94650685,12.79976247,15.31501085,19.19205677,13.63584544,22.78892679,13.65154246,15.94636637,11.04636689,4.329143719,18.1457388,8.461495789,38.74796556,16.93391639,12.34570457,9.908535806,12.7906498,15.95947803,17.44016621,16.61290327,17.06803106,11.08948341,16.20371612,17.6013689,12.18213029,11.1295782,93.90872819,46.69251864,60.20880802,23.73231254,57.94316765,9.343882069,12.04979854,8.777482071,8.843130956,7.699823934,11.22645047,5.719614797,9.91601092,42.73951517,9.229334519,9.198634416,8.096675496,6.265021242,29.81275218,18.91723911,53.88596572,10.17805006,7.569324093,9.458574837,5.175182778,5.480613554,9.975820282,44.18002864,3.509135519,7.933824796,9.275235864,5.126500799,12.0915214,7.216445798,45.0205356,9.042411467,12.4564494,19.41704231,9.986454438,20.36275442,11.0998772,15.48569683,19.27876248,30.94677484,14.66727631,12.43305044,7.691869789,65.78308794,68.13434411
Val,essential,4.235179628,5.255598213,13.50178645,6.103587556,11.68400563,4.675299821,17.46770154,3.107849504,1.993667959,4.523716155,4.066069487,5.025768703,5.670592987,5.370080969,6.035015904,5.362121825,6.402634524,5.90460257,2.390632004,6.386046143,4.911556709,10.2924537,6.774676058,7.019337452,4.881090403,5.812394325,7.684121819,7.308681774,6.57564868,6.667460373,5.268838957,7.032401942,7.958636448,3.90939551,4.87176463,28.40747142,19.3107919,30.0274538,8.16503006,27.89728024,2.989467121,4.90467296,3.802066299,6.476567861,3.783750862,7.610574406,4.139587112,5.762098847,20.20908515,5.221981808,5.56224446,4.154852207,3.866492011,17.17574679,11.43532703,21.45406514,5.161654885,4.6588076,3.909553652,3.993774895,4.063958289,6.089301995,19.76778829,2.461205963,3.537400373,3.788363846,4.180479168,6.59117747,4.718668928,17.94814345,4.050983935,4.208669368,7.074463006,4.675532927,7.333578082,3.991986756,4.652406245,10.37166485,18.16039362,8.765759519,8.299938727,4.781482234,30.83216113,30.716898
Met,essential,0.176762782,0.401369401,0.556951393,0.807646454,0.301660237,0.463740379,0.858330632,0.372407338,0.175041858,0.71496942,0.32764545,0.522701857,0.826733618,0.778416802,0.343480591,0.402601873,0.434247709,0.849621768,0.132968175,0.484241207,0.161890649,1.091281741,0.58548718,0.776834481,0.642245266,0.506563967,0.09868281,0.20562171,0.582704257,0.464350397,0.436467291,0.534350996,0.184698281,0.488332502,0.158855113,2.816059024,1.321920915,2.565033102,0.305009726,0.834233292,0.183044996,0.383904331,0.3016403,0.367393887,0.451814011,0.99214474,0.395873324,0.498516712,2.441555008,0.618013118,0.708442385,0.408527787,0.448943816,1.289998378,0.876683796,2.498200937,0.654191927,0.553931838,0.343525726,0.545640018,0.482226315,0.655501843,2.033388494,0.300012702,0.444066949,0.338030111,0.615019371,0.626144927,0.058036116,1.689555333,0.693355242,0.651437223,0.885660627,0.636790439,1.030832888,0.498756988,0.748353596,1.51949879,2.629190317,0.0036993,1.115419872,0.536137341,2.6734076,2.881267524
Cys,Non_essential,0.01914403,0.017904132,0.018013018,0.017720499,0.018831048,0.019764523,0.018347774,0.015802579,0.01498048,0.017660123,0.018315357,0.015449318,0.018968879,0.014549463,0.019954749,0.019412907,0.019197208,0.018283055,0.018331551,0.01914403,0.019652118,0.019577889,0.017873262,0.019431101,0.018695207,0.018848168,0.018611296,0.019003652,0.017750843,0.018028682,0.017888684,0.017766053,0.018315357,0.017981773,0.01871208,0.020266847,0.019614933,0.01871208,0.020426586,0.020090101,0.018170889,0.017981773,0.017496189,0.017364308,0.019179449,0.019286497,0.020548052,0.019286497,0.018478596,0.018611296,0.020168273,0.018091609,0.016856085,0.019179449,0.019322446,0.020568437,0.019161723,0.017873262,0.01914403,0.017997382,0.017720499,0.018528136,0.019286497,0.018044373,0.019540984,0.020466914,0.01914403,0.019633508,0.019376621,0.018528136,0.01567119,0.016122072,0,0.015647535,0.01934047,0.01567119,0.017827158,0.020346403,0.019559419,0.019559419,0.020629835,0.020286677,0.020012533,0.019878221
Ile,essential,8.127636105,7.302097153,18.51077367,9.829326756,15.0550194,7.284446696,22.719165,3.739803822,3.038387904,5.342122747,4.808626816,6.43652829,5.372189713,5.809169841,9.573676618,7.944791287,9.914393827,9.171726487,3.549820938,8.709737426,6.674963756,15.57061434,10.27727756,11.31173836,7.961791575,8.612065699,10.94958758,10.29214714,10.76769744,10.35460562,9.032382301,11.76774763,11.19874637,6.933310003,8.797805047,42.89656475,30.8011184,46.03594911,13.62667786,41.3828808,6.015936011,9.575290347,5.811020692,9.578461429,6.527012556,13.15751158,6.611309564,9.341399027,29.15084739,9.257100433,9.656666225,6.925979961,6.595198535,22.98351564,16.48686622,32.0740974,8.884782311,7.614923541,6.177944606,6.70502553,6.722289171,10.21134422,28.44985964,3.904116644,6.25563395,5.986139759,7.283353493,9.519686497,7.34364609,26.31808169,4.552823632,4.090008082,6.17061797,4.251812068,5.501584842,4.605169727,1.306618326,17.336917,28.95608352,13.64715438,13.87411598,7.848501573,47.42407007,43.6562405
Leu,essential,0,0,1.971383852,0,2.074301727,0,2.090952081,7.942231143,5.423659264,10.60296265,8.403863737,11.31920696,8.99907784,9.47276819,0,0.03637488,0.243811453,0,0,0.016883158,0.008489005,0.621935429,0,0,-0.063957044,0.114614927,0.934726408,0.890430661,0.123893035,0.148839459,-0.020461327,0,0.190996248,-0.022360217,0.410168006,1.544816234,2.144096449,3.050800434,0.39129703,3.021333777,0.014872827,0.134719796,0,0,-0.126569029,0,-0.184381689,0,6.134539899,0,-0.113798118,-0.167385773,0,0,1.548315827,3.193515918,-0.154176967,0,0,-0.095159061,-0.136189656,-0.169560643,2.706080318,-0.158975262,-0.15991926,-0.08070455,0,0.995907962,0.143993048,2.346354224,9.50833996,9.191064234,12.78458465,9.883247849,12.56544227,10.74931931,5.846590067,2.416527544,3.213608555,1.142348271,-0.074737433,-0.128400086,6.16297836,4.685854701
Phe,essential,2.182475223,2.292676988,5.45673781,2.941815776,4.448648907,2.252096717,6.493867101,1.027654187,0.583209682,2.059730177,1.342306548,1.637030177,1.943706627,2.280544227,3.279369809,2.440067326,2.868922526,2.890383574,0.951584738,2.739809472,2.109440801,4.343234785,3.140386385,3.27455258,2.228027473,2.538778578,3.228566139,3.004398749,3.202589261,3.403724549,2.653174426,3.040857107,2.999453204,1.744935789,1.80834956,10.66194781,6.851333604,9.836165245,2.973716005,8.811672199,1.073893239,2.019299111,1.799060235,2.840451763,1.79868056,3.893027511,2.025153569,3.071072776,8.412663085,2.664559144,2.703153416,1.842110746,1.81461968,6.771563083,4.913767739,8.927969597,2.488331698,2.283496458,1.830578772,1.945621136,1.984873355,3.191483171,8.004260446,1.066975105,1.58667629,1.870439682,2.15181809,2.751637315,2.212050077,7.791127794,2.307033665,2.278164011,2.719661764,1.873263248,2.590935172,2.305358207,1.723230503,5.029523448,8.385883125,3.993104581,4.127369283,2.203886534,13.00173988,11.67977564
Lys,essential,44.8432466,43.50156686,111.3081261,55.64383803,88.65811766,38.71684696,141.4689151,33.55735856,28.21469014,53.98263636,43.86606094,48.41782805,50.14800954,51.21685453,55.04188201,51.13207282,60.53200971,52.70144505,19.17075677,46.44342643,38.4829387,94.33048437,61.45178462,65.27592976,44.91429526,47.24539016,55.94213909,58.79547835,63.91004042,56.7478717,42.63147088,61.04597525,59.04897237,24.42155233,44.36056519,259.5242998,165.4773119,294.4732728,83.11428055,264.5517022,24.97999282,48.1341976,27.05877291,49.97851827,30.63281843,63.90690782,31.3401693,39.9419968,174.3575588,45.87616152,47.79135549,34.91772781,32.15559376,132.7703693,81.03107146,210.0879339,45.68950274,38.45017015,29.78279521,33.60814891,33.00651142,44.69810574,179.7588368,19.65834582,30.85214073,27.85728222,35.92262537,50.21540797,37.33770737,165.9948971,37.26606297,39.92943069,64.68519287,42.83661243,62.96689809,38.85698673,42.66760188,95.77424219,177.3038503,74.1083421,69.88059636,39.78190754,268.0738882,286.9232529
Tyr,Non_essential,5.693651816,6.00098823,12.43958689,5.143343433,8.128911219,4.481621292,16.9967772,2.073134265,2.28716386,5.290094846,3.524415323,4.635887495,6.090455444,5.177986726,5.301125396,6.998097678,8.350211869,4.854396178,1.030157998,5.933560554,2.299366768,13.62167425,7.522675761,5.145284082,2.939686156,4.304149353,8.019088914,7.748870782,7.47906239,3.610040715,1.16414516,3.693617001,5.275475328,0.593666837,2.409886478,26.47888785,23.52642239,34.91771861,7.326729492,29.15388045,1.506216065,2.898261865,1.509514055,1.666113455,1.516806544,5.79541106,1.168106053,3.151406929,18.45860898,3.820015702,3.414067934,2.102779577,1.640228796,18.07894398,11.25431567,22.30672642,4.043404592,2.0678595,1.78281037,0.867760397,0.868292377,4.016973219,20.00807083,0.661373987,1.705846293,0.80760821,1.154300371,6.617895176,3.6673999,20.24161273,2.583706838,4.147570049,7.555478387,4.489706078,7.167261692,3.664758132,4.913306928,14.27263816,24.717624,6.433949994,1.98542821,1.090066748,27.94875472,26.68882025
